LEANumber,SchoolNumber,SORXREF_DESC,SORXREF_EDI_VALUE,SORXREF_BANNER_VALUE,SORXREF_XLBL_CODE,SORXREF_EDI_STANDARD_IND,SORXREF_DISP_WEB_IND,SORXREF_PESC_XML_IND,SORXREF_ACTIVITY_DATE
A9,700,SUCCESS SUU,A9-700,,STVSBGI,Y,N,N,4/13/2017
7G,700,SUMMIT ACADEMY HIGH SCHOOL,7G-700,450066,STVSBGI,Y,N,N,4/13/2017
01,730,SUMMIT HIGH,01-730,AH0016,STVSBGI,Y,N,N,4/13/2017
07,716,SYRACUSE HIGH,07-716,450418,STVSBGI,Y,N,N,4/13/2017
08,712,TABIONA HIGH,08-712,450420,STVSBGI,Y,N,N,4/13/2017
12,722,TAYLORSVILLE HIGH,12-722,450398,STVSBGI,Y,N,N,4/13/2017
8J,300,TERRA ACADEMY,8J-300,450600,STVSBGI,Y,N,N,4/13/2017
01,718,TIMPANOGOS HIGH,01-718,450283,STVSBGI,Y,N,N,4/13/2017
38,712,TIMPVIEW HIGH,38-712,450326,STVSBGI,Y,N,N,4/13/2017
29,704,TINTIC HIGH,29-704,450095,STVSBGI,Y,N,N,4/13/2017
30,730,TOOELE COMMUNITY LEARNING CENTER,30-730,,STVSBGI,Y,N,N,4/13/2017
30,712,TOOELE HIGH,30-712,450425,STVSBGI,Y,N,N,4/13/2017
90,700,TUACAHN HIGH SCHOOL FOR THE PERFORMING ARTS,90-700,450140,STVSBGI,Y,N,N,4/13/2017
35,730,TWO RIVERS HIGH,35-730,450251,STVSBGI,Y,N,N,4/13/2017
31,704,UINTAH HIGH,31-704,450440,STVSBGI,Y,N,N,4/13/2017
92,700,UINTAH RIVER HIGH,92-700,450106,STVSBGI,Y,N,N,4/13/2017
08,714,UNION HIGH,08-714,450345,STVSBGI,Y,N,N,4/13/2017
9I,600,UTAH CAREER PATH HIGH SCHOOL,9I-600,,STVSBGI,Y,N,N,4/13/2017
2H,101,UTAH CONNECTIONS ACADEMY,2H-101,450640,STVSBGI,Y,N,N,4/13/2017
1B,700,UTAH COUNTY ACADEMY OF SCIENCE (UCAS),1B-700,450286,STVSBGI,Y,N,N,4/13/2017
43,700,UTAH ELECTRONIC HIGH SCHOOL,43-700,,STVSBGI,Y,N,N,4/13/2017
1I,700,UTAH INTERNATIONAL CHARTER SCHOOL,1I-700,AH0054,STVSBGI,Y,N,N,4/13/2017
2K,700,UTAH MILITARY ACADEMY,2K-700,450338,STVSBGI,Y,N,N,4/13/2017
33,500,UTAH ONLINE 7-12,33-500,AH0043,STVSBGI,Y,N,N,4/13/2017
5F,700,UTAH VIRTUAL ACADEMY,5F-700,450481,STVSBGI,Y,N,N,4/13/2017
16,708,VALLEY HIGH,16-708,450275,STVSBGI,Y,N,N,4/13/2017
14,716,VALLEY HIGH SCHOOL,14-716,450192,STVSBGI,Y,N,N,4/13/2017
1K,700,VANGUARD ACADEMY,1K-700,,STVSBGI,Y,N,N,4/13/2017
3F,100,VENTURE ACADEMY,3F-100,450190,STVSBGI,Y,N,N,4/13/2017
07,712,VIEWMONT HIGH,07-712,450032,STVSBGI,Y,N,N,4/13/2017
81,300,WALDEN SCHOOL OF LIBERAL ARTS,81-300,450322,STVSBGI,Y,N,N,4/13/2017
32,704,WASATCH HIGH,32-704,450125,STVSBGI,Y,N,N,4/13/2017
33,518,WATER CANYON HIGH,33-518,,STVSBGI,Y,N,N,4/13/2017
34,704,WAYNE HIGH,34-704,450015,STVSBGI,Y,N,N,4/13/2017
35,760,WEBER BASIN JOB CORPS,35-760,450271,STVSBGI,Y,N,N,4/13/2017
35,704,WEBER HIGH,35-704,450270,STVSBGI,Y,N,N,4/13/2017
35,725,WEBER INNOVATION HIGH SCHOOL,35-725,,STVSBGI,Y,N,N,4/13/2017
30,714,WENDOVER HIGH,30-714,450445,STVSBGI,Y,N,N,4/13/2017
29,708,WEST DESERT HIGH SCHOOL,29-708,450437,STVSBGI,Y,N,N,4/13/2017
36,716,WEST HIGH,36-716,450400,STVSBGI,Y,N,N,4/13/2017
14,718,WEST JORDAN HIGH,14-718,450446,STVSBGI,Y,N,N,4/13/2017
01,789,WESTLAKE HIGH,01-789,450004,STVSBGI,Y,N,N,4/13/2017
25,710,WHITEHORSE HIGH,25-710,450207,STVSBGI,Y,N,N,4/13/2017
8I,700,WINTER SPORTS SCHOOL,8I-700,450291,STVSBGI,Y,N,N,4/13/2017
07,714,WOODS CROSS HIGH,07-714,450447,STVSBGI,Y,N,N,4/13/2017
12,501,YOUTH EDUCATIONAL SUPPORT SCHOOL,12-501,,STVSBGI,Y,N,N,4/13/2017
